Publisher,Offer,Sku
kinvolk,flatcar-container-linux-corevm-amd64,stable-gen2
kinvolk,flatcar-container-linux-corevm-amd64,stable
kinvolk,flatcar-container-linux-corevm-amd64,alpha
kinvolk,flatcar-container-linux-corevm-amd64,alpha-gen2
kinvolk,flatcar-container-linux-corevm-amd64,beta-gen2
kinvolk,flatcar-container-linux-corevm-amd64,beta
kinvolk,flatcar-container-linux-corevm,stable
kinvolk,flatcar-container-linux-corevm,alpha
kinvolk,flatcar-container-linux-corevm,beta
SUSE,SLES-Priority,15
SUSE,SLES-Priority,12-sp4
SUSE,SLES-SAP,12-SP3
SUSE,SLES-SAP,15
SUSE,SLES-SAPCAL,12-sp3
SUSE,SLES-SAP,12-sp4
SUSE,SLES-SAP,12-SP2
suse,sles-sap-15-sp1,gen1
suse,sles-sap-15-sp1,gen2
SUSE,SLES-SAP,12-sp1
SUSE,SLES-SAP,12-sp4-gen2
SUSE,SLES-SAP,15-gen2
SUSE,SLES-SAP-BYOS,12-SP2
suse,manager-server-4-2-byos,gen2
suse,manager-server-4-1-byos,gen1
suse,sles-sap-15-sp5-tdxpreview,gen1
SUSE,SLES-HPC,12-SP3
suse,sles-sap-12-sp5,gen2
suse,cap-deploy-byos,gen1
suse,sles-sap-15-sp4-byos,gen1
suse,sles-sap-15-sp1-byos,gen1
suse,sle-micro-5-3-byos,gen1
suse,manager-server-4-1-byos,gen2
SUSE,SLES-SAP-BYOS,15-gen2
suse,opensuse-leap-15-3,gen1
suse,sles-15-sp3-hpc-byos,gen1
SUSE,SLES-BYOS,12-SP3
suse,sles-sap-15-sp5-byos,gen1
suse,manager-server-4-2-byos,gen1
suse,sles-15-sp2,gen1
suse,sles-12-sp5-hpc-byos,gen1
suse,sles-sap-12-sp5,gen1
suse,sles-standard,gen2-12-sp4
suse,sles-15-sp3-chost-byos,gen2
suse,sles-12-sp5,gen2
suse,sles-15-sp3-chost-byos,gen1
suse,sles-15-sp2-chost-byos,gen2
suse,sle-micro-5-4-byos,gen2
suse,sle-hpc-15-sp5,gen2
suse,manager-proxy-4-3-byos,gen2
SUSE,SLES-BYOS,12-sp4-gen2
SUSE,SLES-BYOS,12-sp2
suse,sles-sap-15-sp4,gen2
suse,sles-15-sp3-sapcal,gen2
SUSE,SLES-BYOS,15
suse,manager-proxy-4-byos,gen2
suse,sle-micro-5-1-byos,gen1
suse,sles-15-sp2-monitoring,gen2
suse,sles-15-sp4-arm64,gen2
suse,sles-12-sp5-hpc-byos,gen2
suse,sles-sap-15-sp4-hardened-byos,gen2
suse,sles-15-sp4-chost-byos,gen2
suse,sles-15-sp3-byos,gen1
suse,sles-15-sp1-chost-byos,gen1
suse,sles-sap-15-sp3-byos,gen1
suse,sles-sap-15-sp3,gen1
SUSE,SLES,12-sp4-gen2
suse,sles-sap-15-sp2-byos,gen2
suse,manager-proxy-4-3-byos,gen1
suse,opensuse-leap-15-4,gen1
suse,sles-15-sp5-byos-arm64,gen2
suse,opensuse-leap-15-5-arm64,gen2
SUSE,SLES-BYOS,15-gen2
SUSE,SLES-SAP-BYOS,15
suse,sles-sap-15-sp5-hardened,gen2
suse,sle-hpc-15-sp5-byos,gen1
suse,sle-hpc-15-sp5,gen1
suse,sles-15-sp3-byos,gen2
suse,sle-micro-5-3-byos-arm64,gen2
suse,manager-server-4-3-byos,gen2
suse,opensuse-leap-15-4-arm64,gen2
suse,manager-server-4-3-byos,gen1
suse,sles-12-sp5-basic,gen1
SUSE,SLES-SAP-BYOS,gen2-12-sp4
suse,sles-sap-15-sp5,gen1
suse,sles-15-sp5-tdxpreview,gen2
suse,sles-15-sp3-hpc-byos,gen2
suse,sles-15-sp1-hpc-byos,gen2
SUSE,SLES-BYOS,12-sp1
suse,sle-micro-5-1-byos,gen2
suse,sles-15-sp5-byos,gen2
SUSE,SLES-BYOS,12-sp4
suse,sles-15-sp5-arm64,gen2
suse,sles-15-sp2-basic,gen2
suse,sles-15-sp5-basic,gen1
suse,sles-standard,deprecated
suse,sle-micro-5-3-byos,gen2
suse,sles-sap-15-sp2,gen1
suse,sles-15-sp5-hardened-byos,gen1
SUSE,SLES,gen2-12-sp4
suse,sles-sap-15-sp4-hardened,gen2
SUSE,SLES-SAP-BYOS,12-sp1
suse,sles-15-sp1-chost-byos,gen2
suse,sles-15-sp4-chost-byos-arm64,gen2
suse,sles-15-sp4-basic,gen1
suse,sles-15-sp1-basic,gen2-cloud-init-preview
suse,sles-15-sp4-sapcal,gen1
suse,sles-15-sp1,gen2
suse,sles-sap-15-sp5-tdxpreview,gen2
suse,sles-15-sp4-hardened-byos,gen1
suse,sles-15-sp5,gen2
