Publisher,Offer,Sku
suse,sles-12-sp5-hpc,gen1
suse,sles-15-sp2-chost-byos,gen1
SUSE,SLES-BYOS,11-SP4
suse,sle-hpc-15-sp5-byos,gen2
suse,sles-sap-15-sp5-hardened-byos,gen1
suse,sle-micro-5-4-byos-arm64,gen2
suse,sles-12-sp5-basic,gen2
suse,manager-proxy-4-byos,gen1
suse,sle-micro-5-2-byos,gen2
suse,sle-hpc-15-sp4,gen2
suse,sles-12-sp5-byos,gen1
suse,sles-sap-15-sp5-hardened-byos,gen2
suse,sles-15-sp4-chost-byos,gen1
suse,sles-sap-15-sp4-hardened,gen1
suse,sles-15-sp2,gen2
suse,sles-15-sp3-sapcal,gen1
suse,console-for-sap-applications,preview-gen1
suse,sles-15-sp2-hpc-byos,gen2
suse,sles-sap-15-sp1-byos,gen2
suse,opensuse-leap-15-4,gen2
suse,sles-15-sp5-sapcal,gen1
suse,sles-sap-15-sp4,gen1
suse,sles-15-sp5-hardened-byos,gen2
suse,sles-15-sp3-hpc,gen2
suse,sles-12-sp5-hpc,gen2
suse,sle-hpc-15-sp4,gen1
SUSE,openSUSE-Leap,15-2
SUSE,SLES-SAP-BYOS,gen2-15
suse,sles-15-sp1-hpc-byos,gen1
suse,sles-15-sp1-hpc,gen1
suse,sles-sap-12-sp5-byos,gen2
suse,sles-15-sp2-monitoring,gen1
suse,sle-micro-5-2-byos,gen1
suse,opensuse-leap-15-5,gen1
suse,sles-15-sp4-byos-arm64,gen2
SUSE,SLES,sles-deleted
suse,manager-server-4-byos,gen1
SUSE,SLES-SAP-BYOS,12-sp4
suse,sle-hpc-15-sp4-byos,gen2
suse,sles-15-sp1-basic,gen2
suse,sles-15-sp5-byos,gen1
suse,sles-15-sp1-sapcal,gen2
suse,sles-15-sp3-hpc,gen1
SUSE,SLES-SAP,gen2-15
suse,sles-15-sp4,gen1
suse,sles-15-sp3,gen1
suse,sles-standard,12-sp4-gen2
suse,sles-15-sp1-basic,cloud-init-preview
suse,sles-15-sp1-byos,gen2
suse,cap-deploy-byos,gen2
suse,sles-12-sp5,gen1
suse,console-for-sap-applications,preview-gen2
suse,sles-sap-15-sp4-hardened-byos,gen1
suse,sles-15-sp1-hpc,gen2
suse,sles-15-sp5-chost-byos,gen2
suse,sles-15-sp4-byos,gen1
suse,manager-proxy-4-1-byos,gen1
SUSE,openSUSE-Leap,15-1
suse,sles-15-sp3-basic,gen2
suse,sles-sap-15-sp5-byos,gen2
suse,manager-proxy-4-1-byos,gen2
suse,sles-sap-15-sp4-byos,gen2
suse,sles-15-sp5-tdxpreview,gen1
suse,sles-15-sp4-basic,gen2
suse,sles-12-sp5-byos,gen2
suse,sles-15-sp5-basic,gen2
suse,sles-15-sp5-chost-byos,gen1
suse,sles-15-sp2-basic,gen1
suse,sles-15-sp2-hpc,gen1
suse,sles-sap-15-sp2-byos,gen1
suse,sles-sap-15-sp2,gen2
suse,sles-15-sp3-basic,gen1
suse,sles-15-sp4-byos,gen2
suse,opensuse-leap-15-5,gen2
suse,sles-15-sp4-sapcal,gen2
suse,sle-hpc-15-sp4-byos,gen1
suse,manager-proxy-4-2-byos,gen2
SUSE,SLES-SAP-BYOS,12-sp4-gen2
suse,sles-15-sp1-sapcal,gen1
suse,sles-15-sp2-byos,gen2
suse,sles-15-sp4-hardened-byos,gen2
suse,sles-sap-15-sp5-hardened,gen1
suse,sles-15-sp3,gen2
suse,sles-15-sp5-sapcal,gen2
suse,sles-15-sp5-chost-byos-arm64,gen2
suse,sles-15-sp5,gen1
suse,sles-sap-12-sp5-byos,gen1
suse,sles-sap-15-sp5,gen2
suse,sles-sap-15-sp3,gen2
suse,sles-15-sp4,gen2
suse,sles-sap-15-sp3-byos,gen2
suse,manager-server-4-byos,gen2
SUSE,SLES-SAP-BYOS,12-SP3
suse,sles-15-sp1-byos,gen1
suse,opensuse-leap-15-3,gen2
SUSE,openSUSE-Leap,15-2-gen2
suse,sle-micro-5-4-byos,gen1
suse,sles-15-sp2-hpc-byos,gen1
SUSE,SLES-SAP,gen2-12-sp4
suse,manager-proxy-4-2-byos,gen1
suse,sles-15-sp2-hpc,gen2
suse,sles-15-sp2-byos,gen1
microsoftwindowsserver,19h1gen2servertest,datacenter-core-1903-smalldisk-gen2
microsoftwindowsserver,19h1gen2servertest,2019-datacenter-gen2
microsoftwindowsserver,19h1gen2servertest,2019-datacentero3tf
microsoftwindowsserver,server2016gen2testing,2016-datacenter-gen2
microsoftwindowsserver,servertesting,2016-datacenter
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-zhcn
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-with-containers-gensecond
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2019-datacenter3y75
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-server-core
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-gensecond
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-server-core-smalldisk
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-with-containers-gs
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-gs
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-smalldisk-gensecond
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-server-core-gensecond
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-zhcn-gensecond
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-smalldisk
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-with-containers
microsoftwindowsserver,windows-10-1607-vhd-server-prod-stage,2016-datacenter-server-core-smalldisk-gensecond
microsoftwindowsserver,windows-10-1607-vhd-sf-server-prod-stage,ws2016-dotnetcore-2-1
microsoftwindowsserver,windows-10-1607-vhd-sf-server-prod-stage,2019-datacentercngd
microsoftwindowsserver,windows-10-1607-vhd-sf-server-prod-stage,ws2016-dotnetcore
microsoftwindowsserver,windows-10-1607-vhd-sf-server-prod-stage,ws2016-dotnetcore-2-2
microsoftwindowsserver,windows-10-1803-vhd-server-prod-stage,2019-datacenterqx4j
microsoftwindowsserver,windows-10-1803-vhd-server-prod-stage,datacenter-core-1803-with-containers-smalldisk
microsoftwindowsserver,windows-10-1803-vhd-server-prod-stage,datacenter-core-1803-with-containers-smalldisk-g2
microsoftwindowsserver,windows-10-1803-vhd-server-prod-stage,datacenter-core-1803-with-containers-smalldisk-gensecond
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-smalldisk
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,datacenter-core-1809-with-containers-smalldisk
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-core
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-gensecond
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-core-with-containers-smalldisk-gensecond
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-smalldisk-gensecond
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-zhcn
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,datacenter-core-1809-with-containers-smalldisk-gensecond
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,datacenter-core-1809-with-containers-smalldisk-g2
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-with-containers-smalldisk-gensecond
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-core-with-containers-smalldisk-g2
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-core-smalldisk-gensecond
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-with-containers-smalldisk-g2
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenterxpuv
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-zhcn-gensecond
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-with-containers-smalldisk
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-core-gensecond
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-gs
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-with-containers-gs
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-core-with-containers-smalldisk
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-core-with-containers
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-core-smalldisk
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-core-with-containers-gensecond
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-with-containers
microsoftwindowsserver,windows-10-1809-vhd-server-prod-stage,2019-datacenter-with-containers-gensecond
microsoftwindowsserver,windows-10-1809-vhd-sf-server-prod-stage,ws2019-dotnetcore-2-1
microsoftwindowsserver,windows-10-1809-vhd-sf-server-prod-stage,ws2019-dotnetcore
microsoftwindowsserver,windows-10-1809-vhd-sf-server-prod-stage,ws2019-dotnetcore-2-2
microsoftwindowsserver,windows-10-1809-vhd-sf-server-prod-stage,2019-datacenterbydq
microsoftwindowsserver,windows-10-1903-vhd-server-prod-stage,datacenter-core-1903-with-containers-smalldisk-g2
microsoftwindowsserver,windows-10-1903-vhd-server-prod-stage,2019-datacenterpl3g
microsoftwindowsserver,windows-10-1903-vhd-server-prod-stage,datacenter-core-1903-with-containers-smalldisk
microsoftwindowsserver,windows-10-1909-vhd-server-prod-stage,datacenter-core-1909-with-containers-smalldisk-g1
microsoftwindowsserver,windows-10-1909-vhd-server-prod-stage,datacenter-core-1909-with-containers-smalldisk
microsoftwindowsserver,windows-10-1909-vhd-server-prod-stage,2019-datacenterhz4x
microsoftwindowsserver,windows-10-2004-vhd-server-prod-stage,datacenter-core-2004-with-containers-smalldisk-g2
microsoftwindowsserver,windows-10-2004-vhd-server-prod-stage,datacenter-core-2004-with-containers-smalldisk
microsoftwindowsserver,windows-10-2004-vhd-server-prod-stage,2019-datacenter6yfe
microsoftwindowsserver,windows-10-20h2-vhd-server-prod-stage,datacenter-core-20h2-with-containers-smalldisk-g2
microsoftwindowsserver,windows-10-20h2-vhd-server-prod-stage,2019-datacenterub51
microsoftwindowsserver,windows-10-20h2-vhd-server-prod-stage,datacenter-core-20h2-with-containers-smalldisk
microsoftwindowsserver,windows-7-0-sp1-vhd-server-prod-stage,2019-datacentercloe
microsoftwindowsserver,windows-7-0-sp1-vhd-server-prod-stage,2008-r2-sp1-zhcn
microsoftwindowsserver,windows-7-0-sp1-vhd-server-prod-stage,2008-r2-sp1
microsoftwindowsserver,windows-7-0-sp1-vhd-server-prod-stage,2008-r2-sp1-smalldisk
microsoftwindowsserver,windows-8-0-vhd-server-prod-stage,2019-datacenterjxpt
microsoftwindowsserver,windows-8-0-vhd-server-prod-stage,2012-datacenter
microsoftwindowsserver,windows-8-0-vhd-server-prod-stage,2012-datacenter-smalldisk
microsoftwindowsserver,windows-8-0-vhd-server-prod-stage,2012-datacenter-zhcn
microsoftwindowsserver,windows-8-1-vhd-server-prod-stage,2012-r2-datacenter-smalldisk-g2
microsoftwindowsserver,windows-8-1-vhd-server-prod-stage,2012-r2-datacenter-smalldisk
microsoftwindowsserver,windows-8-1-vhd-server-prod-stage,2012-r2-datacenter-zhcn-g2
microsoftwindowsserver,windows-8-1-vhd-server-prod-stage,2012-r2-datacenter-zhcn
microsoftwindowsserver,windows-8-1-vhd-server-prod-stage,2012-r2-datacenter-gensecond
microsoftwindowsserver,windows-8-1-vhd-server-prod-stage,2019-datacenter6wdm
microsoftwindowsserver,windows-8-1-vhd-server-prod-stage,2012-r2-datacenter
microsoftwindowsserver,windows-arm64-previews,test-pro
microsoftwindowsserver,windows-arm64-previews,test-ent
microsoftwindowsserver,windows-cvm,2019-datacenter-cvm
microsoftwindowsserver,windows-cvm,2022-datacenter-cvm
MicrosoftWindowsServer,WindowsServer,Datacenter-Core-1809-with-Containers-smalldisk
MicrosoftWindowsServer,WindowsServer,2016-datacenter-server-core-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2016-Datacenter
MicrosoftWindowsServer,WindowsServer,2019-datacenter-core-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2019-datacenter-gensecond
MicrosoftWindowsServer,WindowsServer,2012-r2-datacenter-gensecond
MicrosoftWindowsServer,WindowsServer,2016-datacenter-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,datacenter-core-1809-with-containers-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2022-datacenter-core
MicrosoftWindowsServer,WindowsServer,2022-datacenter-smalldisk
MicrosoftWindowsServer,WindowsServer,2019-datacenter-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,datacenter-core-1803-with-containers-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2019-Datacenter-zhcn
MicrosoftWindowsServer,WindowsServer,2022-datacenter-core-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2022-datacenter-azure-edition-core
MicrosoftWindowsServer,WindowsServer,2016-Datacenter-Server-Core
MicrosoftWindowsServer,WindowsServer,2008-R2-SP1-smalldisk
MicrosoftWindowsServer,WindowsServer,Datacenter-Core-1903-with-Containers-smalldisk
MicrosoftWindowsServer,WindowsServer,2019-Datacenter-with-Containers-smalldisk
MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter
MicrosoftWindowsServer,WindowsServer,2019-Datacenter-smalldisk
MicrosoftWindowsServer,WindowsServer,Datacenter-Core-1803-with-Containers-smalldisk
MicrosoftWindowsServer,WindowsServer,2012-Datacenter-smalldisk
MicrosoftWindowsServer,WindowsServer,datacenter-core-1909-with-containers-smalldisk-g1
MicrosoftWindowsServer,WindowsServer,2019-Datacenter-Core-with-Containers
MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter-smalldisk
MicrosoftWindowsServer,WindowsServer,2019-datacenter-with-containers-gs
MicrosoftWindowsServer,WindowsServer,datacenter-core-1909-with-containers-smalldisk
MicrosoftWindowsServer,WindowsServer,2022-datacenter-core-g2
MicrosoftWindowsServer,WindowsServer,datacenter-core-20h2-with-containers-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2022-datacenter-g2
MicrosoftWindowsServer,WindowsServer,2019-Datacenter-Core-smalldisk
MicrosoftWindowsServer,WindowsServer,2016-datacenter-gs
MicrosoftWindowsServer,WindowsServer,2016-Datacenter-zhcn
MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter-zhcn
MicrosoftWindowsServer,WindowsServer,2019-datacenter-core-g2
MicrosoftWindowsServer,WindowsServer,2019-Datacenter-Core
MicrosoftWindowsServer,WindowsServer,2022-datacenter
MicrosoftWindowsServer,WindowsServer,2016-datacenter-gensecond
MicrosoftWindowsServer,WindowsServer,2016-datacenter-zhcn-g2
MicrosoftWindowsServer,WindowsServer,2019-datacenter-with-containers-g2
MicrosoftWindowsServer,WindowsServer,2012-datacenter-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2022-datacenter-core-smalldisk
MicrosoftWindowsServer,WindowsServer,2022-datacenter-azure-edition-hotpatch
MicrosoftWindowsServer,WindowsServer,2016-datacenter-server-core-g2
MicrosoftWindowsServer,WindowsServer,2016-Datacenter-Server-Core-smalldisk
MicrosoftWindowsServer,WindowsServer,2012-Datacenter
MicrosoftWindowsServer,WindowsServer,2019-datacenter-core-with-containers-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,datacenter-core-2004-with-containers-smalldisk
MicrosoftWindowsServer,WindowsServer,2012-r2-datacenter-zhcn-g2
MicrosoftWindowsServer,WindowsServer,2019-datacenter-gs
MicrosoftWindowsServer,WindowsServer,2022-datacenter-azure-edition
MicrosoftWindowsServer,WindowsServer,2016-datacenter-with-containers-g2
MicrosoftWindowsServer,WindowsServer,2012-datacenter-zhcn-g2
MicrosoftWindowsServer,WindowsServer,2019-datacenter-zhcn-g2
MicrosoftWindowsServer,WindowsServer,2012-Datacenter-zhcn
MicrosoftWindowsServer,WindowsServer,2019-Datacenter-with-Containers
MicrosoftWindowsServer,WindowsServer,2016-datacenter-with-containers-gs
MicrosoftWindowsServer,WindowsServer,2016-Datacenter-with-Containers
MicrosoftWindowsServer,WindowsServer,2022-datacenter-azure-edition-hotpatch-smalldisk
MicrosoftWindowsServer,WindowsServer,2022-datacenter-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2019-datacenter-with-containers-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2022-datacenter-azure-edition-smalldisk
MicrosoftWindowsServer,WindowsServer,2022-datacenter-azure-edition-core-smalldisk
MicrosoftWindowsServer,WindowsServer,datacenter-core-1903-with-containers-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2019-Datacenter-Core-with-Containers-smalldisk
MicrosoftWindowsServer,WindowsServer,2012-datacenter-gensecond
MicrosoftWindowsServer,WindowsServer,2019-datacenter-core-with-containers-g2
MicrosoftWindowsServer,WindowsServer,2019-Datacenter
MicrosoftWindowsServer,WindowsServer,datacenter-core-2004-with-containers-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2008-R2-SP1-zhcn
MicrosoftWindowsServer,WindowsServer,2016-Datacenter-smalldisk
MicrosoftWindowsServer,WindowsServer,datacenter-core-20h2-with-containers-smalldisk
MicrosoftWindowsServer,WindowsServer,2012-r2-datacenter-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,datacenter-core-1909-with-containers-smalldisk-g2
MicrosoftWindowsServer,WindowsServer,2008-R2-SP1
MicrosoftWindowsServer,WindowsServer,datacenter-core-20h2-with-containers-smalldisk-gs
microsoftwindowsserver,windows-server-2012-vhd-server-prod-stage,2012-datacenter-zhcn
microsoftwindowsserver,windows-server-2012-vhd-server-prod-stage,2012-datacenter
microsoftwindowsserver,windows-server-2012-vhd-server-prod-stage,2012-datacenter-smalldisk
microsoftwindowsserver,windows-server-2012-vhd-server-prod-stage,2012-datacenter-zhcn-gensecond
microsoftwindowsserver,windows-server-2012-vhd-server-prod-stage,2012-datacenter-smalldisk-gensecond
microsoftwindowsserver,windows-server-2012-vhd-server-prod-stage,2012-datacenter-gensecond
microsoftwindowsserver,windows-server-2012-vhd-server-prod-stage,2019-datacenterzg4w
microsoftwindowsserver,windowsserverdotnet,ws2016-dotnetcore-2-2
microsoftwindowsserver,windowsserverdotnet,ws2019-dotnetcore
microsoftwindowsserver,windowsserverdotnet,ws2019-dotnetcore-2-1
microsoftwindowsserver,windowsserverdotnet,ws2016-dotnetcore-2-1
microsoftwindowsserver,windowsserverdotnet,ws2019-dotnetcore-2-2
microsoftwindowsserver,windowsserverdotnet,ws2016-dotnetcore
microsoftwindowsserver,windowsserver-gen2preview,2012-datacenter-gen2
microsoftwindowsserver,windowsserver-gen2preview,2012-r2-datacenter-gen2
microsoftwindowsserver,windowsserver-gen2preview,2019-datacenter-gen2
microsoftwindowsserver,windowsserver-gen2preview,2016-datacenter-gen2
microsoftwindowsserver,windowsserver-gen2preview,windowsserver2016-tvm-sc
microsoftwindowsserver,windowsserver-gen2preview,windows10-tvm-sc
microsoftwindowsserver,windowsserver-gen2preview,windowsserver2019-tvm-sc
microsoftwindowsserver,windowsserver-gen2preview,windowsserver2016-tvm
microsoftwindowsserver,windowsserver-gen2preview,windows10-tvm
microsoftwindowsserver,windowsserver-gen2preview,windowsserver2019-tvm
microsoftwindowsserver,windowsserver-gen2-preview,2012-r2-datacenter-gen2
microsoftwindowsserver,windowsserver-gen2-preview,2016-datacenter-gen2
microsoftwindowsserver,windowsserver-gen2-preview,2019-datacenter-gen2
microsoftwindowsserver,windowsserver-gen2-preview,2012-datacenter-gen2
microsoftwindowsserver,windowsserver-gen2-testing,2016-datacenter
microsoftwindowsserver,windowsserver-gen2-testing,2016-datacenter-gen2
microsoftwindowsserver,windowsserver-preview,2012-datacenter-gen2
microsoftwindowsserver,windowsserver-preview,2012-r2-datacenter-gen2
microsoftwindowsserver,windowsserver-preview,2016-datacenter-gen2
microsoftwindowsserver,windowsserver-preview,2019-datacenter-gen2
microsoftwindowsserver,windowsserver-previewtest,windowsserverpreview-testsku
microsoftwindowsserver,windowsserver-previewtest,2019-datacenterta3z
microsoftwindowsserver,windowsserverupgrade,server2012upgrade
microsoftwindowsserver,windowsserverupgrade,server2019upgrade
microsoftwindowsserver,windowsserverupgrade,server2016upgrade
microsoftwindowsserver,windowsserverupgrade,server2022upgrade
microsoftwindowsserver,ws2012-preview,2012-datacenter-smalldisk
microsoftwindowsdesktop,0804777c-0b04-4bdd-964b-214c8377d0d2,rs4-pro
microsoftwindowsdesktop,676738ac-a807-468f-8a7b-961bfa3a3404,rs5-pro
microsoftwindowsdesktop,676738ac-a807-468f-8a7b-961bfa3a3404,rs5-pro-zh-cn
microsoftwindowsdesktop,676738ac-a807-468f-8a7b-961bfa3a3404,rs5-evd
microsoftwindowsdesktop,676738ac-a807-468f-8a7b-961bfa3a3404,rs5-pron
microsoftwindowsdesktop,6f8d5b91-ec98-4230-85d8-cc4e0a5c11ef,rs4-pro
microsoftwindowsdesktop,6f8d5b91-ec98-4230-85d8-cc4e0a5c11ef,rs4-pron
microsoftwindowsdesktop,6f8d5b91-ec98-4230-85d8-cc4e0a5c11ef,rs4-pro-zh-cn
microsoftwindowsdesktop,office-365,rs5-evd-o365pp
microsoftwindowsdesktop,office-365,win10-21h2-avd-m365-g2
microsoftwindowsdesktop,office-365,win10-22h2-avd-m365-g2
microsoftwindowsdesktop,office-365,win11-22h2-avd-m365
microsoftwindowsdesktop,office-365,20h1-evd-o365pp-g2
microsoftwindowsdesktop,office-365,win11-21h2-avd-m365
microsoftwindowsdesktop,office-365,20h2-evd-o365pp
microsoftwindowsdesktop,office-365,19h2-evd-o365pp-g2
microsoftwindowsdesktop,office-365,20h2-evd-o365pp-g2
microsoftwindowsdesktop,office-365,21h1-evd-o365pp
microsoftwindowsdesktop,office-365,21h1-evd-o365pp-g2
microsoftwindowsdesktop,office-365,rs5-evd-o365pp-g2
microsoftwindowsdesktop,office-365,20h1-evd-o365pp
microsoftwindowsdesktop,office-365,19h2-evd-o365pp
microsoftwindowsdesktop,office-365,win10-21h2-avd-m365
microsoftwindowsdesktop,office-365,19h1-evd-o365pp
microsoftwindowsdesktop,office-365,win10-22h2-avd-m365
microsoftwindowsdesktop,office-365,1903-evd-o365pp
microsoftwindowsdesktop,test_sj_win_client,test_sj_client_sku1
MicrosoftWindowsDesktop,Windows-10,RS3-Pro
MicrosoftWindowsDesktop,Windows-10,RS3-ProN
MicrosoftWindowsDesktop,Windows-10,rs4-pro
MicrosoftWindowsDesktop,Windows-10,rs4-pron
MicrosoftWindowsDesktop,Windows-10,rs5-pro
MicrosoftWindowsDesktop,Windows-10,rs5-pron
